Mã trường,Mã ngành,Tên ngành,Tổ hợp môn năm 2019,Tổ hợp môn năm 2020,Tổ hợp môn năm 2021,Tổ hợp môn năm 2022,Tổ hợp môn năm 2023,Tổ hợp môn năm 2024,Tổ hợp môn năm 2025,Điểm chuẩn năm 2019,Điểm chuẩn năm 2020,Điểm chuẩn năm 2021,Điểm chuẩn năm 2022,Điểm chuẩn năm 2023,Điểm chuẩn năm 2024,Điểm chuẩn năm 2025
DTL,7510605_A00,Logistics và Quản lý chuỗi cung ứng,,,,,,,A00,,,,,,,21.4
DTL,7510605_A01,Logistics và Quản lý chuỗi cung ứng,,,,,,,A01,,,,,,,20.4
DTL,7510605_D01,Logistics và Quản lý chuỗi cung ứng,,,,,,,D01,,,,,,,20.4
DTL,7510605_D07,Logistics và Quản lý chuỗi cung ứng,,,,,,,D07,,,,,,,20.4
DTL,7510605_X01,Logistics và Quản lý chuỗi cung ứng,,,,,,,X01,,,,,,,21.4
DTL,7510605_X25,Logistics và Quản lý chuỗi cung ứng,,,,,,,X25,,,,,,,21.4
DTL,7720301,Điều dưỡng,B00,B00,B00,B00,B00,B00,,18.2,19.15,19.05,19.0,19.0,19.0,
DTL,7720301_A00,Điều dưỡng,,,,,,,A00,,,,,,,20.55
DTL,7720301_B00,Điều dưỡng,,,,,,,B00,,,,,,,19.55
DTL,7720301_B03,Điều dưỡng,,,,,,,B03,,,,,,,20.55
DTL,7720301_B08,Điều dưỡng,,,,,,,B08,,,,,,,19.55
DTL,7720301_C02,Điều dưỡng,,,,,,,C02,,,,,,,20.55
DTL,7720301_D07,Điều dưỡng,,,,,,,D07,,,,,,,19.55
DTL,7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D03,A00.A01.D01.D03.D04,A00;A01;D01;D03;D04,A00;A01;D01;D03;D04,A00;A01;C00;D01,A00;A01;D01;D07,,19.7,21.9,24.45,23.75,23.84,23.33,
DTL,7810103_A00,Quản trị dịch vụ du lịch và lữ hành,,,,,,,A00,,,,,,,20.15
DTL,7810103_A01,Quản trị dịch vụ du lịch và lữ hành,,,,,,,A01,,,,,,,19.15
DTL,7810103_A07,Quản trị dịch vụ du lịch và lữ hành,,,,,,,A07,,,,,,,20.15
DTL,7810103_D01,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D01,,,,,,,19.15
DTL,7810103_D09,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D09,,,,,,,19.15
DTL,7810103_D10,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D10,,,,,,,19.15
DTM,7340101,Quản trị kinh doanh,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;D04;X01,18.75,16.0,24.0,30.0,17.0,18.0,17.5
DTM,7440201,Địa chất học,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;X01;X04,14.0,14.0,15.0,20.0,15.0,15.0,15.0
DTM,7440224,Thủy văn học,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;X01;X02,14.0,14.0,15.0,20.0,15.0,15.0,15.0
DTM,7480104,Hệ thống thông tin,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;X01;X02,14.0,15.0,15.0,28.0,15.0,15.0,15.0
DTM,7480201,Công nghệ thông tin,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;X01;X02,17.25,15.0,24.0,28.5,17.0,17.5,16.0
DTM,7510406,Công nghệ kỹ thuật môi trường,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,B03;C01;C02;C03;D01;X01;X02;X04,14.0,14.0,15.0,20.0,15.0,15.0,15.0
DTM,7520503,Kỹ thuật trắc địa - bản đồ,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,B03;C01;C02;C03;C04;D01;X02;X04,14.0,14.0,15.0,20.0,15.0,15.0,15.0
DTM,7580213,Kỹ thuật cấp thoát nước,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,B03;C01;C02;C03;D01;X01;X02;X04,14.0,14.0,15.0,20.0,15.0,15.0,15.0
DTM,7850101,Quản lý tài nguyên và môi trường,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,A00;A01;A02;B00,B03;C02;C03;C04;D01;X01;X02;X04,15.0,15.0,15.0,20.0,16.0,16.0,15.5
DTM,7850102,Kinh tế tài nguyên thiên nhiên,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;D04;X01,14.0,14.0,15.0,20.0,15.0,15.0,15.0
DTM,7850103,Quản lý đất đai,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;X01;X02,16.25,15.0,22.0,29.0,17.0,17.5,15.0
DTM,7850197,Quản lý tài nguyên và môi trường biển đảo,A00;A01;A14;B00,A00;A01;A14;B00,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B03;C01;C02;C03;C04;D01;D04;X02,14.0,14.0,15.0,19.5,15.0,15.0,15.0
DTN,7320205,Quản lý thông tin,A07;C20;D01;D84,D01;D84;A07;C20,D01;D84;A07;C20,D01;D84;A07;C20,D01;D84;A07;C20,D01;D84;A07;C02,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,15.0,15.0,15.0,17.0,15.0,15.0,15.0
DTN,7340120,Kinh doanh quốc tế,A00;A01;B00;C02,A00;B00;C02;A01,A00;B00;C02;A01,A00;B00;C02;A01,A00;B00;C02;A01,A00;B00;C02;A01,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,17.0,15.0,15.0,15.0,15.0,15.0,15.0
DTN,7420201,Công nghệ sinh học,B00;B02;B04;B05,B00;B02;B05;B04,B00;B02;B05;B04,A00;B00;B03;B05,B00;B02;B03;B05,A00;B00;B03;B05,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,18.5,15.0,15.0,15.0,15.0,15.0
DTN,7440301,Khoa học môi trường,A07;A09;B00;D01,D01;B00;A09;A07,D01;B00;A09;A07,D01;B00;A09;A07,,D01;B00;A09;A07,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,15.0,15.0,15.0,,15.0,15.0
DTN,7440301_A00,Khoa học môi trường,,,,,A00,,,,,,,16.0,,
DTN,7440301_A01,Khoa học môi trường,,,,,A01,,,,,,,16.0,,
DTN,7440301_A07,Khoa học môi trường,,,,,A07,,,,,,,15.0,,
DTN,7440301_A09,Khoa học môi trường,,,,,A09,,,,,,,15.0,,
DTN,7440301_B00,Khoa học môi trường,,,,,B00,,,,,,,16.0,,
DTN,7440301_D01,Khoa học môi trường,,,,,D01,,,,,,,15.0,,
DTN,7440301_D10,Khoa học môi trường,,,,,D10,,,,,,,16.0,,
DTN,7540101,Công nghệ thực phẩm,A00;B00;C04;D10,A00;B00;C04;D10,A00;B00;C04;D10,A00;B00;C02;D01,,A00;B00;C02;D01,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,19.0,15.0,18.5,,15.0,15.0
DTN,7540101_A00,Công nghệ thực phẩm,,,,,A00,,,,,,,16.0,,
DTN,7540101_B00,Công nghệ thực phẩm,,,,,B00,,,,,,,16.0,,
DTN,7540101_C02,Công nghệ thực phẩm,,,,,C02,,,,,,,15.0,,
DTN,7540101_D01,Công nghệ thực phẩm,,,,,D01,,,,,,,16.0,,
DTN,7540101_D08,Công nghệ thực phẩm,,,,,D08,,,,,,,16.0,,
DTN,7540106,Đảm bảo chất lượng và an toàn thực phẩm,A00;B00;D01;D07,A00;B00;D01;D07,A00;B00;D01;D07,A00;B00;D01;D07,A00;B00;D01;D07,A00;B00;D01;D07,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,15.0,15.0,15.0,15.0,15.0,15.0
DTN,7620101,Nông nghiệp,A00;B00;B02;C02,A00;B00;C02,A00;B00;C02,A00;B00;C02,A01;B01;C02;B02,A00;B00;C02,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.0,21.0,15.0,20.0,15.0,15.0,15.0
DTN,7620105,Chăn nuôi,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.0,15.0,15.0,15.5,15.0,15.0,15.0
DTN,7620110,Khoa học cây trồng,A00;B00;B02;C02,A00;B00;C02,A00;B00;C02,A00;B00;C02;B02,A00;B00;C02,A00;B00;C02,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,21.0,15.0,15.0,15.0,15.0,15.0
DTN,7620115,Kinh tế nông nghiệp,A00;A10;B00;C02,A00;B00;C02,A00;B00;C02,A00;B00;C02,,A00;B00;C02,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,15.0,15.0,15.0,,15.0,15.0
DTN,7620115_A00,Kinh tế nông nghiệp,,,,,A00,,,,,,,16.0,,
DTN,7620115_A01,Kinh tế nông nghiệp,,,,,A01,,,,,,,16.0,,
DTN,7620115_B00,Kinh tế nông nghiệp,,,,,B00,,,,,,,16.0,,
DTN,7620115_C02,Kinh tế nông nghiệp,,,,,C02,,,,,,,15.0,,
DTN,7620115_D01,Kinh tế nông nghiệp,,,,,D01,,,,,,,16.0,,
DTN,7620205,Lâm sinh,A00;B00;B02;C02,A00;B00;C02,A00;B00;C02,A09;A15;B02;C14,A09;A15;B02;C14,A00;B00;C02,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,20.0,15.0,15.0,20.0,15.0,15.0,15.0
DTN,7620211,Quản lý tài nguyên rừng,A01;A14;B00;B03,A01;A14;B03;B00,A01;A14;B03;B00,A09;A15;B02;C20,A01;A14;B03;B01,A01;A14;B03;B00,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,18.5,15.0,15.0,20.0,15.0,15.0,15.0
DTN,7640101,Thú y,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;B00;C02;D01,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.0,15.0,15.0,15.5,15.0,15.0,15.0
DTN,7850101,Quản lý tài nguyên và môi trường,A01;B00;C00;D14,C00;D14;B00;A01,C00;D14;B00;A01,C00;D14;B00;A01,C00;D14;B00;A01,C00;D14;B00;A01,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.5,15.0,15.0,16.5,15.0,15.0,15.0
DTN,7850103,Quản lý đất đai,A00;B00;D10,A00;A01;D10;B00,A00;A01;D10;B00,A00;A01;D10;B00,A00;A01;D10;B00,A00;A01;D10;B00,A00;A07;A09;B00;C00;C02;C04;C20;D01;D14,13.0,15.0,15.0,16.5,15.0,15.0,15.0
DTP,51140201,Giáo dục mầm non,M00;M07;M14,M00;M07;M14,C14;C19;C20;M00,B03;C19;C20;M00,B03;C00;C04;C20,B03;C00;C04;C20,B03;C01;C02;C03;C04;C14;D01,16.0,16.5,21.0,17.0,17.0,25.74,23.76
DTP,7620105,Chăn nuôi,A00;B00;C02;D01,A00;B00;D01;C02,A00;B00;D01;C02,A00;B00;D01;C02,A00;B00;D01;C02,A00;B00;C02;D01,B03;C01;C02;D01,13.0,15.0,14.5,14.5,15.0,16.0,15.0
DTP,7810103,Quản trị dịch vụ du lịch và lữ hành,C00;C03;C04;D01,C00;D01;C03;C04,C00;D01;C03;C04,C00;D01;C03;C04,C00;D01;C03;C04,C00;C03;C04;D01,C03;C04;C14;D01,13.5,15.0,14.5,14.5,19.0,20.0,15.0
DTP,7850101,Quản lý tài nguyên và môi trường,A00;B00;C02;D01,A00;B00;D01;C02,A00;B00;D01;C02,A00;B00;D01;C02,A00;B00;D01;C02,A00;B00;C02;D01,B03;C01;C02;D01,13.0,15.0,14.5,14.5,15.0,16.0,15.0
DTQ,7340101,Quản trị kinh doanh,A00;A01;D01;D10,A00;A01;D10;D01,A00;A01;D10;D01,A00;A01;D01;D10,A00;A01;D01;D10,A00;A01;D10;D01,A00;A01;C01;C14;D01;D04;D07;D10,13.5,16.1,15.0,15.0,15.0,17.0,16.0
DTQ,7340120,Kinh doanh quốc tế,A00;A01;D01;D10,A00;A01;D10;D01,A00;A01;D10;D01,A00;A01;D01;D10,A00;A01;D01;D10,A00;A01;D10;D01,A00;A01;C01;C14;D01;D04;D05;D07;D10,14.0,15.8,15.0,15.0,15.0,17.0,17.0
DTQ,7340301,Kế toán,A00;A01;D01;D10,A00;A01;D10;D01,A00;A01;D10;D01,A00;A01;D01;D10,A00;A01;D01;D10,A00;A01;D10;D01,A00;A01;C01;C14;D01;D04;D07;D10,13.5,15.45,15.0,15.0,15.0,17.0,16.0
DTQ,7850101,Quản lý tài nguyên và môi trường,B00;D08;D10;D15,B00;B08;D10;D01,B00;B08;D10;D01,B00;D08;D01;D10,B00;B08;D01;D10,B00;B08;D10;D01,B00;B02;B08;C02;D01;D04;D07;D10,13.5,15.1,15.0,15.0,15.0,17.0,16.0
DTS,7140101,Giáo dục học,C00;C04;C20,C00;C14;C20,C00;C14;C20,C14;C19;C20;D66,C14;C19;C20;D66,C14;C19;C20;D66,,18.0,18.5,15.0,17.0,23.0,26.62,
DTS,7140101_C00,Giáo dục học,,,,,,,C00,,,,,,,25.73
DTS,7140101_C19,Giáo dục học,,,,,,,C19,,,,,,,25.73
DTS,7140101_C20,Giáo dục học,,,,,,,C20,,,,,,,25.98
DTS,7140101_D01,Giáo dục học,,,,,,,D01,,,,,,,24.23
DTS,7140101_X70,Giáo dục học,,,,,,,X70,,,,,,,25.73
DTS,7140101_X74,Giáo dục học,,,,,,,X74,,,,,,,25.98
DTS,7140201,Giáo dục Mầm non,M00;M05;M07,C14;C19;C20,C14;C19;C20,C14;C19;C20;D66,C00;C19;C20;D66,C00;C19;C20;D66,,18.0,25.0,27.5,26.25,26.62,23.95,
DTS,7140201_C14,Giáo dục Mầm non,,,,,,,C14,,,,,,,23.29
DTS,7140201_C19,Giáo dục Mầm non,,,,,,,C19,,,,,,,23.79
DTS,7140201_D01,Giáo dục Mầm non,,,,,,,D01,,,,,,,22.29
DTS,7140201_D66,Giáo dục Mầm non,,,,,,,D66,,,,,,,23.29
DTS,7140201_X01,Giáo dục Mầm non,,,,,,,X01,,,,,,,23.29
DTS,7140201_X17,Giáo dục Mầm non,,,,,,,X17,,,,,,,22.29
DTS,7140201_X78,Giáo dục Mầm non,,,,,,,X78,,,,,,,23.29
DTS,7140202,Giáo dục Tiểu học,D01,D01,D01,D01,D01,D01,,18.0,21.0,23.75,24.0,24.55,25.9,
DTS,7140202_C01,Giáo dục Tiểu học,,,,,,,C01,,,,,,,24.73
DTS,7140202_C03,Giáo dục Tiểu học,,,,,,,C03,,,,,,,24.48
DTS,7140202_D01,Giáo dục Tiểu học,,,,,,,D01,,,,,,,23.98
DTS,7140205,Giáo dục Chính trị,C00;C19;C20,C00;C19;C20,C00;C19;C20,C00;C14;C19;C20,C00;C14;C19;C20,C00;C14;C19;C20,,18.0,18.5,25.0,25.75,26.68,28.31,
DTS,7140205_A08,Giáo dục Chính trị,,,,,,,A08,,,,,,,26.23
DTS,7140205_A09,Giáo dục Chính trị,,,,,,,A09,,,,,,,26.73
DTS,7140205_C19,Giáo dục Chính trị,,,,,,,C19,,,,,,,26.73
DTS,7140205_C20,Giáo dục Chính trị,,,,,,,C20,,,,,,,26.98
DTS,7140205_X17,Giáo dục Chính trị,,,,,,,X17,,,,,,,26.23
DTS,7140205_X21,Giáo dục Chính trị,,,,,,,X21,,,,,,,26.73
DTS,7140205_X70,Giáo dục Chính trị,,,,,,,X70,,,,,,,26.73
DTS,7140209,Sư phạm Toán học,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,,18.0,19.0,24.0,24.5,25.43,26.37,
DTS,7140209_A00,Sư phạm Toán học,,,,,,,A00,,,,,,,26.35
DTS,7140209_A01,Sư phạm Toán học,,,,,,,A01,,,,,,,25.85
DTS,7140209_B00,Sư phạm Toán học,,,,,,,B00,,,,,,,25.85
DTS,7140209_D01,Sư phạm Toán học,,,,,,,D01,,,,,,,25.35
DTS,7140210,Sư phạm Tin học,A00;A01;D07,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,,18.0,18.5,19.0,19.5,21.7,24.22,
DTS,7140210_A00,Sư phạm Tin học,,,,,,,A00,,,,,,,22.25
DTS,7140210_A01,Sư phạm Tin học,,,,,,,A01,,,,,,,21.75
DTS,7140210_D01,Sư phạm Tin học,,,,,,,D01,,,,,,,21.25
DTS,7140210_X06,Sư phạm Tin học,,,,,,,X06,,,,,,,22.25
DTS,7140211,Sư phạm Vật lý,A00;A01,A00;A01,A00;A01,A00;A01;D01,A00;A01;D01,A00;A01;D01,,18.0,18.5,19.5,23.65,24.47,26.02,
DTS,7140211_A00,Sư phạm Vật lý,,,,,,,A00,,,,,,,26.15
DTS,7140211_A01,Sư phạm Vật lý,,,,,,,A01,,,,,,,25.65
DTS,7140211_C01,Sư phạm Vật lý,,,,,,,C01,,,,,,,25.65
DTS,7140211_X07,Sư phạm Vật lý,,,,,,,X07,,,,,,,26.15
DTS,7140212,Sư phạm Hóa học,A00;D07,A00;D01;D07,A00;D01;D07,A00;B00;D01;D07,A00;B00;D01;D07,A00;B00;D01;D07,,18.0,18.5,20.0,24.25,24.8,26.17,
DTS,7140212_A00,Sư phạm Hóa học,,,,,,,A00,,,,,,,25.9
DTS,7140212_B00,Sư phạm Hóa học,,,,,,,B00,,,,,,,25.4
DTS,7140212_D07,Sư phạm Hóa học,,,,,,,D07,,,,,,,25.15
DTS,7140213,Sư phạm Sinh học,B00;D08,B00;B08,B00;B08,B00;B08,B00;B08,B00;B08,,18.0,18.5,19.0,21.25,23.3,25.51,
DTS,7140213_A02,Sư phạm Sinh học,,,,,,,A02,,,,,,,22.0
DTS,7140213_B00,Sư phạm Sinh học,,,,,,,B00,,,,,,,21.75
DTS,7140213_B08,Sư phạm Sinh học,,,,,,,B08,,,,,,,21.25
DTS,7140213_X16,Sư phạm Sinh học,,,,,,,X16,,,,,,,21.75
DTS,7140217,Sư phạm Ngữ văn,C00;D01;D14,C00;D01;D14,C00;D01;D14,C00;D01;D14,C00;D01;D14,C00;D01;D14,,18.0,19.0,24.0,26.75,26.85,28.56,
DTS,7140217_C00,Sư phạm Ngữ văn,,,,,,,C00,,,,,,,27.92
DTS,7140217_C19,Sư phạm Ngữ văn,,,,,,,C19,,,,,,,27.92
DTS,7140217_C20,Sư phạm Ngữ văn,,,,,,,C20,,,,,,,28.17
DTS,7140217_D01,Sư phạm Ngữ văn,,,,,,,D01,,,,,,,26.42
DTS,7140217_D14,Sư phạm Ngữ văn,,,,,,,D14,,,,,,,27.17
DTS,7140217_D15,Sư phạm Ngữ văn,,,,,,,D15,,,,,,,27.42
DTS,7140217_X70,Sư phạm Ngữ văn,,,,,,,X70,,,,,,,27.92
DTS,7140217_X74,Sư phạm Ngữ văn,,,,,,,X74,,,,,,,28.17
DTS,7140218,Sư phạm Lịch sử,C00,C00;C19;D14,C00;C19;D14,C00;C19;D14,C00;C19;D14,C00;C19;D14,,18.0,18.5,24.0,27.5,28.0,28.6,
DTS,7140218_C00,Sư phạm Lịch sử,,,,,,,C00,,,,,,,27.94
DTS,7140218_C19,Sư phạm Lịch sử,,,,,,,C19,,,,,,,27.94
DTS,7140218_D14,Sư phạm Lịch sử,,,,,,,D14,,,,,,,27.19
DTS,7140218_X70,Sư phạm Lịch sử,,,,,,,X70,,,,,,,27.94
DTS,7140219,Sư phạm Địa lý,C00;C04;D10,C00;C04;D10,C00;C04;D10,C00;C04;D01;D10,C00;C04;D01;D10,C00;C04;D01;D10,,18.5,18.5,24.0,26.25,26.73,28.43,
DTS,7140219_C00,Sư phạm Địa lý,,,,,,,C00,,,,,,,27.8
DTS,7140219_C04,Sư phạm Địa lý,,,,,,,C04,,,,,,,27.05
DTS,7140219_C09,Sư phạm Địa lý,,,,,,,C09,,,,,,,27.8
DTS,7140219_C20,Sư phạm Địa lý,,,,,,,C20,,,,,,,28.05
DTS,7140219_D15,Sư phạm Địa lý,,,,,,,D15,,,,,,,27.3
DTS,7140219_X74,Sư phạm Địa lý,,,,,,,X74,,,,,,,28.05
DTS,7140231,Sư phạm Tiếng Anh,D01,D01;D09;D10,D01;D09;D10,D01;D09;D15,D01;D09;D15,D01;D09;D15,,18.0,19.0,24.0,25.0,25.88,26.87,
DTS,7140231_D01,Sư phạm Tiếng Anh,,,,,,,D01,,,,,,,24.06
DTS,7140231_D09,Sư phạm Tiếng Anh,,,,,,,D09,,,,,,,24.06
DTS,7140231_D15,Sư phạm Tiếng Anh,,,,,,,D15,,,,,,,25.06
DTS,7140247,Sư phạm Khoa học tự nhiên,A00;B00,A00;B00,A00;B00,A00;B00,A00;B00,A00;B00,,18.0,18.5,19.0,19.0,22.75,25.19,
DTS,7140247_A00,Sư phạm Khoa học tự nhiên,,,,,,,A00,,,,,,,23.93
DTS,7140247_A01,Sư phạm Khoa học tự nhiên,,,,,,,A01,,,,,,,23.43
DTS,7140247_A02,Sư phạm Khoa học tự nhiên,,,,,,,A02,,,,,,,23.68
DTS,7140247_B00,Sư phạm Khoa học tự nhiên,,,,,,,B00,,,,,,,23.43
DTS,7140247_B08,Sư phạm Khoa học tự nhiên,,,,,,,B08,,,,,,,22.93
DTS,7140247_D07,Sư phạm Khoa học tự nhiên,,,,,,,D07,,,,,,,23.18
DTS,7310403,Tâm lý học giáo dục,C00;C04;C20,C00;C14;C20,C00;C14;C20,B00;C00;C14;C20,B00;C00;C14;C20,B00;C00;C14;C20,,18.0,18.5,15.0,16.5,24.0,27.08,
DTS,7310403_C00,Tâm lý học giáo dục,,,,,,,C00,,,,,,,26.11
DTS,7310403_C19,Tâm lý học giáo dục,,,,,,,C19,,,,,,,26.11
DTS,7310403_C20,Tâm lý học giáo dục,,,,,,,C20,,,,,,,26.36
DTS,7310403_D01,Tâm lý học giáo dục,,,,,,,D01,,,,,,,24.61
DTS,7310403_X70,Tâm lý học giáo dục,,,,,,,X70,,,,,,,26.11
DTS,7310403_X74,Tâm lý học giáo dục,,,,,,,X74,,,,,,,26.36
DTT,7210403,Thiết kế đồ họa,H00;H01;H02,H00: H01;H02,H00;H01;H02,H00;H01;H02,H00;H01;H02,H00;H01;H02;H03,,27.0,30.0,34.0,27.0,31.0,31.5,
DTT,7210403_H00,Thiết kế đồ họa,,,,,,,H00,,,,,,,30.78
DTT,7210403_H01,Thiết kế đồ họa,,,,,,,H01,,,,,,,30.28
DTT,7210403_H02,Thiết kế đồ họa,,,,,,,H02,,,,,,,30.28
DTT,7210403_H03,Thiết kế đồ họa,,,,,,,H03,,,,,,,30.28
DTT,7210403_H04,Thiết kế đồ họa,,,,,,,H04,,,,,,,30.28
DTT,7210403_H05,Thiết kế đồ họa,,,,,,,H05,,,,,,,30.28
DTT,7210404,Thiết kế thời trang,H00;H01;H02,H00;H01;H02,H00;H01;H02,H00;H01;H02,H00;H01;H02,H00;H01;H02;H03,,22.5,25.0,30.5,24.0,26.5,30.6,
DTT,7210404_H00,Thiết kế thời trang,,,,,,,H00,,,,,,,29.23
DTT,7210404_H01,Thiết kế thời trang,,,,,,,H01,,,,,,,28.73
DTT,7210404_H02,Thiết kế thời trang,,,,,,,H02,,,,,,,28.73
DTT,7210404_H03,Thiết kế thời trang,,,,,,,H03,,,,,,,28.73
DTT,7210404_H04,Thiết kế thời trang,,,,,,,H04,,,,,,,28.73
DTT,7210404_H05,Thiết kế thời trang,,,,,,,H05,,,,,,,28.73
DTT,7220201,Ngôn ngữ Anh,D01;D11,D01;D11,D01;D11,D01;D11,D01;D11,D01;D11,,33.0,33.25,35.6,34.0,33.5,33.8,
DTT,7220201_D01,Ngôn ngữ Anh,,,,,,,D01,,,,,,,30.84
DTT,7220201_D11,Ngôn ngữ Anh,,,,,,,D11,,,,,,,31.34
DTT,7220204,Ngôn ngữ Trung Quốc,D01;D04;D11;D55,D01;D04;D11;D55,D01;D04;D11;D55,D01;D04;D11;D55,D01;D04;D11;D55,D01;D04;D11;D55,,31.0,31.5,34.9,33.0,32.2,32.5,
DTT,7220204_D01,Ngôn ngữ Trung Quốc,,,,,,,D01,,,,,,,29.9
DTT,7220204_D04,Ngôn ngữ Trung Quốc,,,,,,,D04,,,,,,,29.9
DTT,7220204_D11,Ngôn ngữ Trung Quốc,,,,,,,D11,,,,,,,30.4
DTT,7220204_D55,Ngôn ngữ Trung Quốc,,,,,,,D55,,,,,,,30.4
DTT,7310301,Xã hội học,A01;C00;C01;D01,A01;C00;C01;D01,A01;C00;C01;D01,A00;A01;D01;D07,A01;C00;C01;D01,A01;C00;C01;D01,,25.0,29.25,32.9,28.5,31.25,32.3,
DTT,7310301_C00,Xã hội học,,,,,,,C00,,,,,,,31.76
DTT,7310301_C01,Xã hội học,,,,,,,C01,,,,,,,31.51
DTT,7310301_C02,Xã hội học,,,,,,,C02,,,,,,,31.26
DTT,7310301_C03,Xã hội học,,,,,,,C03,,,,,,,31.51
DTT,7310301_C04,Xã hội học,,,,,,,C04,,,,,,,31.51
DTT,7310301_D01,Xã hội học,,,,,,,D01,,,,,,,31.26
DTT,7310301_D14,Xã hội học,,,,,,,D14,,,,,,,31.51
DTT,7340101,Quản trị kinh doanh,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,,32.0,34.25,36.0,33.6,33.45,33.0,
DTT,7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,,32.5,34.25,35.1,30.5,32.25,32.0,
DTT,7340101N_A00,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),,,,,,,A00,,,,,,,27.7
DTT,7340101N_A01,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),,,,,,,A01,,,,,,,27.45
DTT,7340101N_C01,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),,,,,,,C01,,,,,,,27.95
DTT,7340101N_C02,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),,,,,,,C02,,,,,,,27.7
DTT,7340101N_D01,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),,,,,,,D01,,,,,,,27.45
DTT,7340101N_D07,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),,,,,,,D07,,,,,,,27.45
DTT,7340101_A00,Quản trị kinh doanh,,,,,,,A00,,,,,,,29.25
DTT,7340101_A01,Quản trị kinh doanh,,,,,,,A01,,,,,,,29.0
