Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
BKA,7850103_EE-E18y,"Hệ thống điện và năng lượng tái tạo
(CT tiên tiến)",A00;A01,23.55,2022,
BKA,7850103_EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,A00;A01,25.2,2019,
BKA,7850103_EE-E8,Kỹ thuật Điều khiển - Tự động hoá và Hệ thống điện (CT tiên tiến),A00;A01,27.43,2020,Toán
BKA,7850103_EE-E8,Kỹ thuật điều khiển Tự động hóa (Chương trình tiên tiến),A00;A01,27.26,2021,
BKA,7850103_EE-E8,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),A00;A01,26.74,2023,
BKA,7850103_EE-E8,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),A00;A01,27.54,2024,
BKA,7850103_EE-E8x,Kỹ thuật Điều khiển - Tự động hoá và Hệ thống điện (CT tiên tiến,A19,23.43,2020,KTTD
BKA,7850103_EE-E8y,"Kỹ thuật Điều khiển - Tự động hoá
(CT tiên tiến)",A00;A01,25.99,2022,
BKA,7850103_EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00;A01;D29,25.68,2020,Toán
BKA,7850103_EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình tiên tiến),A00;A01;D29,26.14,2021,
BKA,7850103_EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00;A01;D29,25.14,2023,
BKA,7850103_EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00;A01;D29,26.22,2024,
BKA,7850103_EE-Epx,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A19,20.36,2020,KTTD
BKA,7850103_EE-Epy,"Tin học công nghiệp và Tự động hóa
(Chương trình Việt - Pháp PFIEV)",A00;A01;D29,23.99,2022,
BKA,7850103_EE1,Kỹ thuật Điện,A00;A01,24.28,2019,
BKA,7850103_EE1,Kỹ thuật Điện,A00;A01,26.5,2021,
BKA,7850103_EE1,Kỹ thuật điện,A00;A01,25.55,2023,
BKA,7850103_EE1,Kỹ thuật điện,A00;A01,26.81,2024,
