Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú,Mã trường,Năm xét tuyển
EBBA,Quản trị kinh doanh (E - BBA),A00;A01;D01;D07,26.8,,KHA,2022
EP01,"Khởi nghiệp và phát triển kinh
doanh (BBAE)",A00;A01;D07;D09,34.9,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
EP02,"Định phí Bảo hiểm & Quản trị rủi
ro (Actuary)",A00;A01;D01;D07,26.4,,KHA,2022
EP03,"Khoa học dữ liệu trong Kinh tế &
Kinh doanh (DSEB)",A00;A01;D01;D07,26.5,,KHA,2022
EP04,"Kế toán tích hợp chứng chỉ quốc
tế (ACT - ICAEW)",A00;A01;D01;D07,26.8,,KHA,2022
EP05,Kinh doanh số (E - BDB),A00;A01;D01;D07,26.8,,KHA,2022
EP06,Phân tích kinh doanh (BA),A00;A01;D01;D07,27.2,,KHA,2022
EP07,"Quản trị điều hành thông minh
(E-SOM)",A01;D01;D07;D10,26.9,,KHA,2022
EP08,"Quản trị chât lượng và Đổi mới 
(E-MQI)",A01;D01;D07;D10,26.45,,KHA,2022
EP09,Công nghệ tài chính (BFT),A00;A01;D01;D07,26.9,,KHA,2022
EP10,Đầu tư tài chính (BFI),A01;D01;D07;D10,36.25,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
EP11,Quản trị khách sạn quốc tế (HME),A01;D01;D09;D10,34.6,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
EP12,"Kiểm toán tích hợp chứng chỉ
quốc tế (AUD - ICAEW)",A00;A01;D01;D07,27.2,,KHA,2022
EP13,Kinh tế học tài chính (FE),A00;A01;D01;D07,26.5,,KHA,2022
EP14,"Logistics và Quản lý chuỗi 
cung ứng tích hợp chứng chỉ quốc tế (LSIC)",A01;D01;D07;D10,36.25,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
EPMP,"Quản lý công và Chính sách
(E - PMP)",A00;A01;D01;D07,26.1,,KHA,2022
POHE1,POHE - Quản trị khách sạn,A00;A01;D07;D09,35.35,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
POHE2,POHE - Quản trị lữ hành,A00;A01;D07;D09,34.8,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
POHE3,POHE - Truyền thông Marketing,A00;A01;D07;D09,38.15,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
POHE4,POHE - Luật kinh doanh,A00;A01;D07;D09,35.5,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
POHE5,"POHE - Quản trị kinh doanh 
thương mại",A00;A01;D07;D09,36.95,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
POHE6,POHE - Quản trị thị trường,A00;A01;D07;D09,35.0,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
POHE7,POHE - Thẩm định giá,A00;A01;D07;D09,35.0,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
7220201,Ngôn ngữ Anh (tiếng Anh hệ số 2),A01;D01;D09;D10,37.3,,KHA,2021
7310101,Kinh tế,A00;A01;D01;D07,27.55,,KHA,2021
7310104,Kinh tế đầu tư,A00;A01;D01;B00,27.7,,KHA,2021
7310105,Kinh tế phát triển,A00;A01;D01;D07,27.5,,KHA,2021
7310106,Kinh tế quốc tế,A00;A01;D01;D07,28.05,,KHA,2021
7310107,Thống kê kinh tế,A00;A01;D01;D07,27.3,,KHA,2021
7310108,Toán kinh tế,A00;A01;D01;D07,27.4,,KHA,2021
7320108,Quan hệ công chúng,A01;D01;C03;C04,28.1,,KHA,2021
7340101,Quản trị kinh doanh,A00;A01;D01;D07,27.55,,KHA,2021
7340115,Marketing,A00;A01;D01;D07,28.15,,KHA,2021
7340116,Bất động sản,A00;A01;D01;D07,27.2,,KHA,2021
7340120,Kinh doanh quốc tế,A00;A01;D01;D07,28.25,,KHA,2021
7340121,Kinh doanh thương mại,A00;A01;D01;D07,27.9,,KHA,2021
7340122,Thương mại điện tử,A00;A01;D01;D07,28.1,,KHA,2021
7340204,Bảo hiểm,A00;A01;D01;D07,27.0,,KHA,2021
7340301,Kế toán,A00;A01;D01;D07,27.65,,KHA,2021
7340302,Kiểm toán,A00;A01;D01;D07,28.1,,KHA,2021
7340401,Khoa học quản lý,A00;A01;D01;D07,27.2,,KHA,2021
7340403,Quản lý công,A00;A01;D01;D07,27.2,,KHA,2021
7340404,Quản trị nhân lực,A00;A01;D01;D07,27.7,,KHA,2021
7340405,Hệ thống thông tin quản lý,A00;A01;D01;D07,27.5,,KHA,2021
7340409,Quản lý dự án,A00;A01;D01;B00,27.5,,KHA,2021
7380101,Luật,A00;A01;D01;D07,27.1,,KHA,2021
7380107,Luật kinh tế,A00;A01;D01;D07,27.35,,KHA,2021
7480101,Khoa học máy tính,A00;A01;D01;D07,27.0,,KHA,2021
7480201,Công nghệ thông tin,A00;A01;D01;D07,27.3,,KHA,2021
7510605,Logistics và Quản lý chuỗi cung ứng,A00;A01;D01;D07,28.3,,KHA,2021
7620114,Kinh doanh nông nghiệp,A00;A01;D01;B00,26.9,,KHA,2021
7620115,Kinh tế nông nghiệp,A00;A01;D01;B00,26.95,,KHA,2021
7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D07,27.2,,KHA,2021
7810201,Quản trị khách sạn,A00;A01;D01;D07,27.35,,KHA,2021
7850101,Quản lý tài nguyên và môi trường,A00;A01;D01;D07,26.9,,KHA,2021
7850102,Kinh tế tài nguyên thiên nhiên,A00;A01;D01;B00,26.95,,KHA,2021
7850103,Quản lý đất đai,A00;A01;D01;D07,27.05,,KHA,2021
CT1,Ngân hàng,A00;A01;D01;D07,27.6,,KHA,2021
CT2,Tài chính công,A00;A01;D01;D07,27.5,,KHA,2021
CT3,Tài chính doanh nghiệp,A00;A01;D01;D07,27.9,,KHA,2021
EBBA,Quản trị kinh doanh (E-BBA),A00;A01;D01;D07,27.05,,KHA,2021
EP01,Khởi nghiệp và phát triển kinh doanh (BBAE),A01;D01;D07;D09,36.45,,KHA,2021
EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00;A01;D01;D07,26.95,,KHA,2021
EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),A00;A01;D01;D07,26.95,,KHA,2021
EP04,Kế toán tích hợp chứng chỉ quốc tế (ACT-ICAEW),A00;A01;D01;D07,27.3,,KHA,2021
EP05,Kinh doanh số (E-BDB),A00;A01;D01;D07,27.15,,KHA,2021
EP06,Phân tích kinh doanh (BA),A00;A01;D01;D07,27.3,,KHA,2021
EP07,Quản trị điều hành thông minh (E-SOM),A01;D01;D07;D10,27.1,,KHA,2021
EP08,Quản trị chất lượng và Đổi mới (E-MQI),A01;D01;D07;D10,27.1,,KHA,2021
EP09,Công nghệ tài chính (BFT),A00;A01;D01;D07,27.1,,KHA,2021
EP10,Đầu tư tài chính (BFI),A01;D01;D07;D10,37.1,,KHA,2021
EP11,Quản trị khách sạn quốc tế (IHME),A01;D01;D09;D10,36.6,,KHA,2021
EP12,Kiểm toán tích hợp chứng chỉ quốc tế (AUD-ICAEW),A00;A01;D01;D07,27.55,,KHA,2021
EP13,Kinh tế học tài chính (FE),A00;A01;D01;D07,26.95,,KHA,2021
EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),A01;D01;D07;D10,37.55,,KHA,2021
EPMP,Quản lý công và Chính sách (E- PMP),A00;A01;D01;D07,26.85,,KHA,2021
POHE,Các chương trình định hướng ứng dụng (POHE - tiếng Anh hệ số 2),A01;D01;D07;D09,36.75,,KHA,2021
7220201,Ngôn ngữ Anh,A01; D01; D09; D10,35.6,Tiếng Anh hệ số 2,KHA,2020
7310101,Kinh tế,A00; A01; D01; D07,26.9,,KHA,2020
7310104,Kinh tế đầu tư,A00; A01; D01; B00,27.05,,KHA,2020
7310105,Kinh tế phát triển,A00; A01; D01; D07,26.75,,KHA,2020
7310106,Kinh tế Quốc tế,A00; A01; D01; D07,27.75,,KHA,2020
7310107,Thống kê kinh tế,A00; A01; D01; D07,26.45,,KHA,2020
7310108,Toán kinh tế,A00; A01; D01; D07,26.45,,KHA,2020
7320108,Quan hệ công chúng,A01; D01; C03; C04,27.6,,KHA,2020
7340101,Quản trị kinh doanh,A00; A01; D01; D07,27.2,,KHA,2020
7340115,Marketing,A00; A01; D01; D07,27.55,,KHA,2020
7340116,Bất động sản,A00; A01; D01; D07,26.55,,KHA,2020
7340120,Kinh doanh Quốc tế,A00; A01; D01; D07,27.8,,KHA,2020
7340121,Kinh doanh thương mại,A00; A01; D01; D07,27.25,,KHA,2020
7340122,Thương mại Điện tử,A00; A01; D01; D07,27.65,,KHA,2020
7340204,Bảo hiểm,A00; A01; D01; D07,26.0,,KHA,2020
7340301,Kế toán,A00; A01; D01; D07,27.15,,KHA,2020
7340302,Kiểm toán,A00; A01; D01; D07,27.55,,KHA,2020
7340401,Khoa học quản lý,A00; A01; D01; D07,26.25,,KHA,2020
7340403,Quản lý công,A00; A01; D01; D07,26.15,,KHA,2020
7340404,Quản trị nhân lực,A00; A01; D01; D07,27.1,,KHA,2020
7340405,Hệ thống thông tin quản lý,A00; A01; D01; D07,26.75,,KHA,2020
7340409,Quản lý dự án,A00; A01; D01; B00,26.75,,KHA,2020
7380101,Luật,A00; A01; D01; D07,26.2,,KHA,2020
7380107,Luật Kinh tế,A00; A01; D01; D07,26.65,,KHA,2020
